Sector: Europe,,
,,
SS7,PEPLDZ00352.pi.pvt,Error Connecting to the Server
D22,pepldr03103.pi.pvt,19.20.0.0.0
S22,pepldr03061.pi.pvt,19.20.0.0.0
QS2,PEPLDR02795.pi.pvt,Error Connecting to the Server
U35,pepldr03364.pi.pvt,Error Connecting to the Server
QXA,PEPLGP01241.pi.pvt,19.20.0.0.0
S3A,pepldr03060.pi.pvt,19.20.0.0.0
D55,peplap09405.pi.pvt,2.18.24.1695756995
U17,pepldr03375.pi.pvt,Error Connecting to the Server
SXA,pepldr03114.pi.pvt,19.20.0.0.0
UM7,PEPLAP08582.pi.pvt,Error Connecting to the Server
U55,peplap08590.pi.pvt,Error Connecting to the Server
DS2,PEPLDZ00345.pi.pvt,Error Connecting to the Server
Q22,PEPLDR03104.pi.pvt,19.20.0.0.0
QM2,peplap08584.pi.pvt,Error Connecting to the Server
US7,PEPLAP05957.pi.pvt,Error Connecting to the Server
SM7,PEPLAP08477.pi.pvt,Error Connecting to the Server
DM2,PEPLAP08585.pi.pvt,Error Connecting to the Server
T17,pepldr03062.pi.pvt,19.20.0.0.0
DXA,pepldr03116.pi.pvt,19.20.0.0.0
Q5A,peplap09406.pi.pvt,2.15.19.1671632641
,,
,,
Oracle,11,
Hana,2,
Issue,12,
Total,25,
