UE2adm,peplap07484.pi.pvt,NAME="SLES"VERSION="15-SP4"VERSION_ID="15.4"PRETTY_NAME="SUSE Linux Enterprise Server 15 SP4"ID="sles"ID_LIKE="suse"ANSI_COLOR="0;32"CPE_NAME="cpe:/o:suse:sles:15:sp4"DOCUMENTATION_URL="https://documentation.suse.com/"
UE2adm,peplap07489.pi.pvt,NAME="SLES"VERSION="15-SP4"VERSION_ID="15.4"PRETTY_NAME="SUSE Linux Enterprise Server 15 SP4"ID="sles"ID_LIKE="suse"ANSI_COLOR="0;32"CPE_NAME="cpe:/o:suse:sles:15:sp4"DOCUMENTATION_URL="https://documentation.suse.com/"
UE2adm,peplap07488.pi.pvt,NAME="SLES"VERSION="15-SP4"VERSION_ID="15.4"PRETTY_NAME="SUSE Linux Enterprise Server 15 SP4"ID="sles"ID_LIKE="suse"ANSI_COLOR="0;32"CPE_NAME="cpe:/o:suse:sles:15:sp4"DOCUMENTATION_URL="https://documentation.suse.com/"
UX3adm,pepldr03123.pi.pvt,NAME="Oracle Linux Server"VERSION="8.8"ID="ol"ID_LIKE="fedora"VARIANT="Server"VARIANT_ID="server"VERSION_ID="8.8"PLATFORM_ID="platform:el8"PRETTY_NAME="Oracle Linux Server 8.8"ANSI_COLOR="0;31"CPE_NAME="cpe:/o:oracle:linux:8:8:server"HOME_URL="https://linux.oracle.com/"BUG_REPORT_URL="https://github.com/oracle/oracle-linux"ORACLE_BUGZILLA_PRODUCT="Oracle Linux 8"ORACLE_BUGZILLA_PRODUCT_VERSION=8.8ORACLE_SUPPORT_PRODUCT="Oracle Linux"ORACLE_SUPPORT_PRODUCT_VERSION=8.8
UX3adm,peplap09079.pi.pvt,NAME="SLES"VERSION="15-SP4"VERSION_ID="15.4"PRETTY_NAME="SUSE Linux Enterprise Server 15 SP4"ID="sles"ID_LIKE="suse"ANSI_COLOR="0;32"CPE_NAME="cpe:/o:suse:sles:15:sp4"DOCUMENTATION_URL="https://documentation.suse.com/"
UX3adm,peplap09078.pi.pvt,NAME="SLES"VERSION="15-SP4"VERSION_ID="15.4"PRETTY_NAME="SUSE Linux Enterprise Server 15 SP4"ID="sles"ID_LIKE="suse"ANSI_COLOR="0;32"CPE_NAME="cpe:/o:suse:sles:15:sp4"DOCUMENTATION_URL="https://documentation.suse.com/"
UX3adm,peplap09142.pi.pvt,NAME="Oracle Linux Server"VERSION="8.8"ID="ol"ID_LIKE="fedora"VARIANT="Server"VARIANT_ID="server"VERSION_ID="8.8"PLATFORM_ID="platform:el8"PRETTY_NAME="Oracle Linux Server 8.8"ANSI_COLOR="0;31"CPE_NAME="cpe:/o:oracle:linux:8:8:server"HOME_URL="https://linux.oracle.com/"BUG_REPORT_URL="https://github.com/oracle/oracle-linux"ORACLE_BUGZILLA_PRODUCT="Oracle Linux 8"ORACLE_BUGZILLA_PRODUCT_VERSION=8.8ORACLE_SUPPORT_PRODUCT="Oracle Linux"ORACLE_SUPPORT_PRODUCT_VERSION=8.8
UX3adm,peplap09141.pi.pvt,NAME="Oracle Linux Server"VERSION="8.8"ID="ol"ID_LIKE="fedora"VARIANT="Server"VARIANT_ID="server"VERSION_ID="8.8"PLATFORM_ID="platform:el8"PRETTY_NAME="Oracle Linux Server 8.8"ANSI_COLOR="0;31"CPE_NAME="cpe:/o:oracle:linux:8:8:server"HOME_URL="https://linux.oracle.com/"BUG_REPORT_URL="https://github.com/oracle/oracle-linux"ORACLE_BUGZILLA_PRODUCT="Oracle Linux 8"ORACLE_BUGZILLA_PRODUCT_VERSION=8.8ORACLE_SUPPORT_PRODUCT="Oracle Linux"ORACLE_SUPPORT_PRODUCT_VERSION=8.8
UX3adm,peplap09140.pi.pvt,NAME="Oracle Linux Server"VERSION="8.8"ID="ol"ID_LIKE="fedora"VARIANT="Server"VARIANT_ID="server"VERSION_ID="8.8"PLATFORM_ID="platform:el8"PRETTY_NAME="Oracle Linux Server 8.8"ANSI_COLOR="0;31"CPE_NAME="cpe:/o:oracle:linux:8:8:server"HOME_URL="https://linux.oracle.com/"BUG_REPORT_URL="https://github.com/oracle/oracle-linux"ORACLE_BUGZILLA_PRODUCT="Oracle Linux 8"ORACLE_BUGZILLA_PRODUCT_VERSION=8.8ORACLE_SUPPORT_PRODUCT="Oracle Linux"ORACLE_SUPPORT_PRODUCT_VERSION=8.8
UX3adm,peplap09139.pi.pvt,NAME="Oracle Linux Server"VERSION="8.8"ID="ol"ID_LIKE="fedora"VARIANT="Server"VARIANT_ID="server"VERSION_ID="8.8"PLATFORM_ID="platform:el8"PRETTY_NAME="Oracle Linux Server 8.8"ANSI_COLOR="0;31"CPE_NAME="cpe:/o:oracle:linux:8:8:server"HOME_URL="https://linux.oracle.com/"BUG_REPORT_URL="https://github.com/oracle/oracle-linux"ORACLE_BUGZILLA_PRODUCT="Oracle Linux 8"ORACLE_BUGZILLA_PRODUCT_VERSION=8.8ORACLE_SUPPORT_PRODUCT="Oracle Linux"ORACLE_SUPPORT_PRODUCT_VERSION=8.8
